bolag_namn,org_nr,review_rows,unique_reviewers,oldest_review,newest_review,weak_name_pct,trustpilot_company
"RichRelevance Sweden Holding AB",5569124422,2,1,2024-04-10T08:56:04.000Z,2024-04-10T08:56:04.000Z,0.0,""
"Tronum Group AB",5569633174,2,1,2024-01-04T22:19:35.000Z,2024-01-04T22:19:35.000Z,0.0,""
"Tronum Invest AB",5595157768,2,1,2024-01-04T22:19:35.000Z,2024-01-04T22:19:35.000Z,0.0,""
"Tronum Retail AB",5590990478,2,1,2024-01-04T22:19:35.000Z,2024-01-04T22:19:35.000Z,0.0,""
"Antonyous Hanna Holding AB",5595442400,2,1,2023-02-17T16:34:10.000Z,2023-02-17T16:34:10.000Z,100.0,""
"Ciro Södertälje AB",5593232704,2,1,2023-02-17T16:34:10.000Z,2023-02-17T16:34:10.000Z,100.0,""
"Gena Invest AB",5593883431,2,1,2023-02-17T16:34:10.000Z,2023-02-17T16:34:10.000Z,100.0,""
"DartVoid AB",5569907586,2,1,2022-03-04T07:09:28.000Z,2022-03-04T07:09:28.000Z,0.0,""
"Siftlab AB",5590079892,2,1,2022-03-04T07:09:28.000Z,2022-03-04T07:09:28.000Z,0.0,""
"Sipmek AB",5593786238,2,1,2022-03-04T07:09:28.000Z,2022-03-04T07:09:28.000Z,0.0,""
"DECC städ & bygg AB",5594583485,1,1,2026-09-15T20:01:56.000Z,2026-09-15T20:01:56.000Z,100.0,""
"Salthamn AB",5567959035,1,1,2026-09-15T20:01:56.000Z,2026-09-15T20:01:56.000Z,100.0,""
"Salthamns vatten och avlopp AB (svb)",5590245782,1,1,2026-09-15T20:01:56.000Z,2026-09-15T20:01:56.000Z,100.0,""
"Tjauls Holding AB",5594931973,1,1,2026-09-15T20:01:56.000Z,2026-09-15T20:01:56.000Z,100.0,""
"Tjauls utveckling AB",5594873563,1,1,2026-09-15T20:01:56.000Z,2026-09-15T20:01:56.000Z,100.0,""
"Strömsholmen Aktiebolag",5564633930,1,1,2026-08-15T08:12:01.000Z,2026-08-15T08:12:01.000Z,100.0,""
"Aziz Consulting AB",5593044406,1,1,2026-07-17T13:38:53.000Z,2026-07-17T13:38:53.000Z,0.0,""
"DZZIER AB",5595993816,1,1,2026-07-17T13:38:53.000Z,2026-07-17T13:38:53.000Z,0.0,""
"Metin Invest AB",5593044398,1,1,2026-07-17T13:38:53.000Z,2026-07-17T13:38:53.000Z,0.0,""
"Rhodos Grekiska Kolgrillen Handelsbolag",9697088228,1,1,2026-07-17T13:38:53.000Z,2026-07-17T13:38:53.000Z,0.0,""
"Belle Maison AB",5590140561,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Carl Lundgren Konsult AB",5567529135,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"ESS Hotel Group AB",5567108047,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"ESS Hotel Group Fastigheter AB",5569942542,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"ESS Hotel Group Hotelldrift AB",5569937526,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"ESS Hotel Group Restaurangdrift AB",5569942583,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Ellery Beach House AB",5569475006,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Ess Hotell Fastigheter AB",5568278401,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"Ess Hotell Intressenter AB",5569984742,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
"FSB Sweden AB",5568278419,1,1,2026-06-10T14:03:39.000Z,2026-06-10T14:03:39.000Z,0.0,""
