orgnr,latest_year,score,revenue,result,equity,balance,receivables,liquidity,short_term_debt,reasons,match_status,matched_orgnr,bolag_namn,kontakt_telefon,kontakt_email,webbplats,kontakt_kalla,kontakt_url
5567270524,2025,90,40523142.0,2350344.0,12096277.0,24908510.0,532341.0,0.0,10631017.0,Omsättning stark; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning hanterbar; Likviditet saknas,verified,5567270524,Raglady By T AB - Raglady Frölunda,,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/raglady-by-t-ab-raglady-frolunda-akquhjlp
5566991427,2025,90,24720500.0,1908625.0,6172805.0,8024656.0,743043.0,0.0,1805711.0,Omsättning stark; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning hanterbar; Likviditet saknas,verified,5566991427,Mera Form Enköping AB,0171-41 21,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/mera-form-enkoping-ab-iacgrrxja
5564315165,2025,90,48454169.0,3773422.0,12410678.0,22899011.0,1890064.0,0.0,2043550.0,Omsättning stark; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning hanterbar; Likviditet saknas,verified,5564315165,Metallåtervinning i Uppsala AB,+4618 13 11 30,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/metallatervinning-i-uppsala-ab-lotemqqrs
5567333140,2025,90,61490108.0,10194006.0,11007673.0,39509743.0,2135334.0,0.0,9578320.0,Omsättning stark; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning hanterbar; Likviditet saknas,verified,5567333140,Småländsk Kyckling Och Lamm AB,,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/smalandsk-kyckling-och-lamm-ab-kmqrxzzj
5566814504,2025,90,97592277.0,3242441.0,15066984.0,25729784.0,1740136.0,0.0,10662800.0,Omsättning stark; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning hanterbar; Likviditet saknas,verified,5566814504,"Sveriges Ridgymnasium Flyinge, Lund",02 327 000,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/sveriges-ridgymnasium-flyinge-lund-alsvemry
5565253852,2025,90,26783988.0,4008133.0,15097156.0,22703053.0,0.0,0.0,1860724.0,Omsättning stark; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning hanterbar; Likviditet saknas,verified,5565253852,Hejetorps Kyckling AB,+46455 419 40,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/hejetorps-kyckling-ab-hnvhnqqr
5566379284,2025,90,24810270.0,749217.0,8809769.0,18805225.0,967969.0,0.0,4895306.0,Omsättning stark; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning hanterbar; Likviditet saknas,verified,5566379284,Eskilstuna Metallåtervinning,+4616 12 11 65,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/eskilstuna-metallatervinning-ctbjnpbi
5568095193,2025,86,260877.0,2714.0,88652.0,191147.0,36250.0,109.28,102495.0,Liten men positiv omsättning; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning acceptabel; Likviditet finns; Kundfordringar i rimlig nivå,verified,5568095193,Ripflogets Alltjänst AB,09519301,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/ripflogets-alltjanst-ab-nttvyhgbx
5565168266,2025,86,9012604.0,441647.0,826406.0,2040085.0,881613.0,0.0,1213679.0,Tillräcklig omsättning; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning acceptabel; Likviditet saknas; Kundfordringar i rimlig nivå,verified,5565168266,Ergonomiska Industriprodukter i Nässjö A,+46380 167 33,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/ergonomiska-industriprodukter-i-nassjo-a-fcpqzkquv
5565583084,2025,86,14190872.0,790296.0,2303103.0,5817937.0,2036046.0,0.0,2466821.0,Tillräcklig omsättning; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning acceptabel; Likviditet saknas; Kundfordringar i rimlig nivå,verified,5565583084,Slang & Transport i Markaryd AB,+46433 166 12,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/slang-och-transport-i-markaryd-ab-fimgrsue
5564035045,2025,86,5271235.0,263706.0,876890.0,2272667.0,1270255.0,0.0,1261383.0,Tillräcklig omsättning; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning acceptabel; Likviditet saknas; Kundfordringar i rimlig nivå,verified,5564035045,Degersjö Entreprenad AB,03504501,,Hitta.se,hitta.se,https://www.hitta.se/verksamhet/degersjo-entreprenad-ab-lryalqtzd
5566308457,2025,86,19769516.0,190651.0,3530742.0,8019754.0,1586861.0,0.0,4035160.0,Tillräcklig omsättning; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning acceptabel; Likviditet saknas; Kundfordringar i rimlig nivå,verified,5566308457,Agent Molly & Co AB,+468 615 20 31,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/agent-molly-och-co-ab-amszaaac
5567113914,2025,86,7500837.0,782040.0,876200.0,3026174.0,895711.0,0.0,1039974.0,Tillräcklig omsättning; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning acceptabel; Likviditet saknas; Kundfordringar i rimlig nivå,verified,5567113914,Medos Medtech AB,,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/medos-medtech-ab-agbhinps
5563045813,2025,86,6282208.0,3074003.0,2988515.0,17383775.0,691566.0,0.0,3678180.0,Tillräcklig omsättning; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning acceptabel; Likviditet saknas; Kundfordringar i rimlig nivå,verified,5563045813,T. J. Gräv i Brandstorp AB,04581301,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/t-j-grav-i-brandstorp-ab-amubyyhc
5569992570,2025,86,7502380.0,3074969.0,2707627.0,8241268.0,2796186.0,0.0,3104227.0,Tillräcklig omsättning; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning acceptabel; Likviditet saknas; Kundfordringar i rimlig nivå,verified,5569992570,Nilom Norrlands IndustriLack o Montage AB,070-354 25,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/nilom-norrlands-industrilack-o-montage-ab-mpbzkmqyz
5569124067,2025,86,8436002.0,641680.0,780524.0,1891333.0,254677.0,119.0,1110809.0,Tillräcklig omsättning; Positivt resultat; Positivt eget kapital; Balans finns; Skuldsättning acceptabel; Likviditet finns,verified,5569124067,Icarrier AB,,,hitta.se,hitta.se,https://www.hitta.se/verksamhet/icarrier-ab-amtelmtbx
